subtype,question,structured,correct_answer
direction_sense,"Kavya walks 9km west, then 4km north. How far is Kavya from the starting point?",9km west;4km north,9.85
coding_decoding,"If DOG is coded as HSK, how is KEY coded?",DOG->HSK;KEY->?,OIC
syllogism,Statement 1: Some plants are cats. Statement 2: Some cats are vehicles. Conclusion: Some plants are vehicles. Is the conclusion valid?,Some plants are cats|Some cats are vehicles|Some plants are vehicles,invalid
blood_relation,Pooja is Karan's mother. Karan is Manoj's father. How is Pooja related to Manoj?,Pooja|mother|Karan;Karan|father|Manoj,grandmother
direction_sense,"Riya walks 10km south, then 10km north, then 8km east. How far is Riya from the starting point?",10km south;10km north;8km east,8.0
coding_decoding,"If CAT is coded as ECV, how is LOG coded?",CAT->ECV;LOG->?,NQI
syllogism,Statement 1: All flowers are vehicles. Statement 2: All vehicles are animals. Conclusion: All flowers are animals. Is the conclusion valid?,All flowers are vehicles|All vehicles are animals|All flowers are animals,valid
blood_relation,Riya is Priya's mother. Priya is Amit's father. How is Riya related to Amit?,Riya|mother|Priya;Priya|father|Amit,grandmother
direction_sense,"Riya walks 6km north, then 5km west. How far is Riya from the starting point?",6km north;5km west,7.81
coding_decoding,"If CUP is coded as FXS, how is COW coded?",CUP->FXS;COW->?,FRZ
syllogism,Statement 1: No pets are cats. Statement 2: Some cats are mammals. Conclusion: Some mammals are not pets. Is the conclusion valid?,No pets are cats|Some cats are mammals|Some mammals are not pets,valid
blood_relation,Meera is Pooja's mother. Pooja is Anjali's mother. How is Meera related to Anjali?,Meera|mother|Pooja;Pooja|mother|Anjali,grandmother
direction_sense,"Anjali walks 3km south, then 5km north. How far is Anjali from the starting point?",3km south;5km north,2.0
coding_decoding,"If DOG is coded as EPH, how is LOG coded?",DOG->EPH;LOG->?,MPH
syllogism,Statement 1: No fruits are dogs. Statement 2: Some dogs are vehicles. Conclusion: Some vehicles are not fruits. Is the conclusion valid?,No fruits are dogs|Some dogs are vehicles|Some vehicles are not fruits,valid
blood_relation,Kavya is Rohit's father. Rohit is Arjun's father. How is Kavya related to Arjun?,Kavya|father|Rohit;Rohit|father|Arjun,grandfather
direction_sense,"Kavya walks 5km north, then 2km west. How far is Kavya from the starting point?",5km north;2km west,5.39
coding_decoding,"If CUP is coded as EWR, how is BAT coded?",CUP->EWR;BAT->?,DCV
syllogism,Statement 1: No mammals are cars. Statement 2: Some cars are plants. Conclusion: Some plants are not mammals. Is the conclusion valid?,No mammals are cars|Some cars are plants|Some plants are not mammals,valid
blood_relation,Meera is Amit's daughter. Amit is Vikram's daughter. How is Meera related to Vikram?,Meera|daughter|Amit;Amit|daughter|Vikram,granddaughter
direction_sense,"Riya walks 10km south, then 2km east, then 9km west. How far is Riya from the starting point?",10km south;2km east;9km west,12.21
coding_decoding,"If MAP is coded as RFU, how is TOP coded?",MAP->RFU;TOP->?,YTU
syllogism,Statement 1: All foods are fruits. Statement 2: No fruits are animals. Conclusion: No foods are animals. Is the conclusion valid?,All foods are fruits|No fruits are animals|No foods are animals,valid
blood_relation,Rohit is Sneha's daughter. Sneha is Priya's son. How is Rohit related to Priya?,Rohit|daughter|Sneha;Sneha|son|Priya,granddaughter
direction_sense,"Sneha walks 4km east, then 6km east, then 9km north. How far is Sneha from the starting point?",4km east;6km east;9km north,13.45
coding_decoding,"If CUP is coded as DVQ, how is COW coded?",CUP->DVQ;COW->?,DPX
syllogism,Statement 1: No birds are flowers. Statement 2: Some flowers are cars. Conclusion: Some cars are not birds. Is the conclusion valid?,No birds are flowers|Some flowers are cars|Some cars are not birds,valid
blood_relation,Rohit is Karan's daughter. Karan is Nikhil's son. How is Rohit related to Nikhil?,Rohit|daughter|Karan;Karan|son|Nikhil,granddaughter
direction_sense,"Kavya walks 3km west, then 9km north. How far is Kavya from the starting point?",3km west;9km north,9.49
coding_decoding,"If MAP is coded as OCR, how is BOX coded?",MAP->OCR;BOX->?,DQZ
syllogism,Statement 1: All mammals are dogs. Statement 2: All dogs are flowers. Conclusion: All mammals are flowers. Is the conclusion valid?,All mammals are dogs|All dogs are flowers|All mammals are flowers,valid
blood_relation,Rohit is Pooja's mother. Pooja is Arjun's mother. How is Rohit related to Arjun?,Rohit|mother|Pooja;Pooja|mother|Arjun,grandmother
direction_sense,"Priya walks 7km west, then 3km west. How far is Priya from the starting point?",7km west;3km west,10.0
coding_decoding,"If FAN is coded as HCP, how is JAM coded?",FAN->HCP;JAM->?,LCO
syllogism,Statement 1: All vehicles are animals. Statement 2: All animals are pets. Conclusion: All vehicles are pets. Is the conclusion valid?,All vehicles are animals|All animals are pets|All vehicles are pets,valid
blood_relation,Pooja is Sneha's mother. Sneha is Nikhil's father. How is Pooja related to Nikhil?,Pooja|mother|Sneha;Sneha|father|Nikhil,grandmother
direction_sense,"Kavya walks 9km east, then 6km east, then 6km north. How far is Kavya from the starting point?",9km east;6km east;6km north,16.16
coding_decoding,"If CAT is coded as DBU, how is TOP coded?",CAT->DBU;TOP->?,UPQ
syllogism,Statement 1: Some dogs are mammals. Statement 2: All mammals are animals. Conclusion: Some dogs are animals. Is the conclusion valid?,Some dogs are mammals|All mammals are animals|Some dogs are animals,valid
blood_relation,Meera is Divya's son. Divya is Anjali's daughter. How is Meera related to Anjali?,Meera|son|Divya;Divya|daughter|Anjali,grandson
direction_sense,"Kavya walks 8km east, then 8km south. How far is Kavya from the starting point?",8km east;8km south,11.31
coding_decoding,"If DOG is coded as FQI, how is TOP coded?",DOG->FQI;TOP->?,VQR
syllogism,Statement 1: Some mammals are dogs. Statement 2: Some dogs are fruits. Conclusion: Some mammals are fruits. Is the conclusion valid?,Some mammals are dogs|Some dogs are fruits|Some mammals are fruits,invalid
blood_relation,Rohit is Kavya's daughter. Kavya is Riya's son. How is Rohit related to Riya?,Rohit|daughter|Kavya;Kavya|son|Riya,granddaughter
direction_sense,"Nikhil walks 7km west, then 7km west. How far is Nikhil from the starting point?",7km west;7km west,14.0
coding_decoding,"If CUP is coded as FXS, how is BAT coded?",CUP->FXS;BAT->?,EDW
syllogism,Statement 1: Some dogs are flowers. Statement 2: All flowers are animals. Conclusion: Some dogs are animals. Is the conclusion valid?,Some dogs are flowers|All flowers are animals|Some dogs are animals,valid
blood_relation,Karan is Amit's father. Amit is Divya's mother. How is Karan related to Divya?,Karan|father|Amit;Amit|mother|Divya,grandfather
direction_sense,"Sneha walks 4km south, then 4km east, then 10km south. How far is Sneha from the starting point?",4km south;4km east;10km south,14.56
coding_decoding,"If SUN is coded as VXQ, how is LOG coded?",SUN->VXQ;LOG->?,ORJ
syllogism,Statement 1: All flowers are animals. Statement 2: No animals are fruits. Conclusion: No flowers are fruits. Is the conclusion valid?,All flowers are animals|No animals are fruits|No flowers are fruits,valid
blood_relation,Riya is Rohit's daughter. Rohit is Vikram's daughter. How is Riya related to Vikram?,Riya|daughter|Rohit;Rohit|daughter|Vikram,granddaughter
direction_sense,"Amit walks 7km west, then 7km south, then 4km north. How far is Amit from the starting point?",7km west;7km south;4km north,7.62
coding_decoding,"If SUN is coded as UWP, how is TOP coded?",SUN->UWP;TOP->?,VQR
syllogism,Statement 1: All flowers are birds. Statement 2: No birds are mammals. Conclusion: No flowers are mammals. Is the conclusion valid?,All flowers are birds|No birds are mammals|No flowers are mammals,valid
blood_relation,Anjali is Karan's mother. Karan is Sneha's father. How is Anjali related to Sneha?,Anjali|mother|Karan;Karan|father|Sneha,grandmother
direction_sense,"Kavya walks 6km west, then 4km west, then 5km east. How far is Kavya from the starting point?",6km west;4km west;5km east,5.0
coding_decoding,"If MAP is coded as PDS, how is COW coded?",MAP->PDS;COW->?,FRZ
syllogism,Statement 1: Some dogs are flowers. Statement 2: All flowers are plants. Conclusion: Some dogs are plants. Is the conclusion valid?,Some dogs are flowers|All flowers are plants|Some dogs are plants,valid
blood_relation,Sneha is Priya's mother. Priya is Vikram's father. How is Sneha related to Vikram?,Sneha|mother|Priya;Priya|father|Vikram,grandmother
direction_sense,"Arjun walks 9km north, then 4km south. How far is Arjun from the starting point?",9km north;4km south,5.0
coding_decoding,"If BAT is coded as DCV, how is JAM coded?",BAT->DCV;JAM->?,LCO
syllogism,Statement 1: No mammals are cars. Statement 2: Some cars are animals. Conclusion: Some animals are not mammals. Is the conclusion valid?,No mammals are cars|Some cars are animals|Some animals are not mammals,valid
blood_relation,Riya is Vikram's mother. Vikram is Rohit's mother. How is Riya related to Rohit?,Riya|mother|Vikram;Vikram|mother|Rohit,grandmother
direction_sense,"Priya walks 10km north, then 2km west, then 10km south. How far is Priya from the starting point?",10km north;2km west;10km south,2.0
coding_decoding,"If FAN is coded as KFS, how is RUN coded?",FAN->KFS;RUN->?,WZS
syllogism,Statement 1: All dogs are fruits. Statement 2: No fruits are vehicles. Conclusion: No dogs are vehicles. Is the conclusion valid?,All dogs are fruits|No fruits are vehicles|No dogs are vehicles,valid
blood_relation,Riya is Sneha's father. Sneha is Karan's father. How is Riya related to Karan?,Riya|father|Sneha;Sneha|father|Karan,grandfather
direction_sense,"Sneha walks 9km south, then 3km west, then 5km west. How far is Sneha from the starting point?",9km south;3km west;5km west,12.04
coding_decoding,"If DOG is coded as FQI, how is TOP coded?",DOG->FQI;TOP->?,VQR
syllogism,Statement 1: Some pets are animals. Statement 2: All animals are dogs. Conclusion: Some pets are dogs. Is the conclusion valid?,Some pets are animals|All animals are dogs|Some pets are dogs,valid
blood_relation,Nikhil is Meera's daughter. Meera is Riya's daughter. How is Nikhil related to Riya?,Nikhil|daughter|Meera;Meera|daughter|Riya,granddaughter
direction_sense,"Anjali walks 7km south, then 5km north. How far is Anjali from the starting point?",7km south;5km north,2.0
coding_decoding,"If PEN is coded as UJS, how is TOP coded?",PEN->UJS;TOP->?,YTU
syllogism,Statement 1: Some birds are plants. Statement 2: All plants are cats. Conclusion: Some birds are cats. Is the conclusion valid?,Some birds are plants|All plants are cats|Some birds are cats,valid
blood_relation,Arjun is Amit's daughter. Amit is Karan's daughter. How is Arjun related to Karan?,Arjun|daughter|Amit;Amit|daughter|Karan,granddaughter
direction_sense,"Meera walks 4km south, then 4km east. How far is Meera from the starting point?",4km south;4km east,5.66
coding_decoding,"If SUN is coded as TVO, how is RUN coded?",SUN->TVO;RUN->?,SVO
syllogism,Statement 1: Some birds are plants. Statement 2: All plants are cats. Conclusion: Some birds are cats. Is the conclusion valid?,Some birds are plants|All plants are cats|Some birds are cats,valid
blood_relation,Sneha is Vikram's daughter. Vikram is Suresh's daughter. How is Sneha related to Suresh?,Sneha|daughter|Vikram;Vikram|daughter|Suresh,granddaughter
direction_sense,"Karan walks 9km west, then 9km east. How far is Karan from the starting point?",9km west;9km east,0.0
coding_decoding,"If FAN is coded as HCP, how is RUN coded?",FAN->HCP;RUN->?,TWP
syllogism,Statement 1: Some flowers are cats. Statement 2: All cats are birds. Conclusion: Some flowers are birds. Is the conclusion valid?,Some flowers are cats|All cats are birds|Some flowers are birds,valid
blood_relation,Pooja is Arjun's son. Arjun is Divya's daughter. How is Pooja related to Divya?,Pooja|son|Arjun;Arjun|daughter|Divya,grandson
direction_sense,"Nikhil walks 8km west, then 2km south. How far is Nikhil from the starting point?",8km west;2km south,8.25
coding_decoding,"If CUP is coded as HZU, how is TOP coded?",CUP->HZU;TOP->?,YTU
syllogism,Statement 1: Some dogs are vehicles. Statement 2: Some vehicles are cars. Conclusion: Some dogs are cars. Is the conclusion valid?,Some dogs are vehicles|Some vehicles are cars|Some dogs are cars,invalid
blood_relation,Nikhil is Priya's daughter. Priya is Rohit's daughter. How is Nikhil related to Rohit?,Nikhil|daughter|Priya;Priya|daughter|Rohit,granddaughter
direction_sense,"Karan walks 3km east, then 2km north, then 9km east. How far is Karan from the starting point?",3km east;2km north;9km east,12.17
coding_decoding,"If MAP is coded as QET, how is BOX coded?",MAP->QET;BOX->?,FSB
syllogism,Statement 1: No pets are foods. Statement 2: Some foods are vehicles. Conclusion: Some vehicles are not pets. Is the conclusion valid?,No pets are foods|Some foods are vehicles|Some vehicles are not pets,valid
blood_relation,Priya is Rohit's father. Rohit is Manoj's father. How is Priya related to Manoj?,Priya|father|Rohit;Rohit|father|Manoj,grandfather
direction_sense,"Suresh walks 8km north, then 10km east. How far is Suresh from the starting point?",8km north;10km east,12.81
coding_decoding,"If CAT is coded as FDW, how is JAM coded?",CAT->FDW;JAM->?,MDP
syllogism,Statement 1: No mammals are fruits. Statement 2: Some fruits are dogs. Conclusion: Some dogs are not mammals. Is the conclusion valid?,No mammals are fruits|Some fruits are dogs|Some dogs are not mammals,valid
blood_relation,Amit is Sneha's mother. Sneha is Priya's mother. How is Amit related to Priya?,Amit|mother|Sneha;Sneha|mother|Priya,grandmother
direction_sense,"Manoj walks 10km south, then 2km east, then 5km south. How far is Manoj from the starting point?",10km south;2km east;5km south,15.13
coding_decoding,"If SUN is coded as VXQ, how is KEY coded?",SUN->VXQ;KEY->?,NHB
syllogism,Statement 1: No cats are cars. Statement 2: Some cars are plants. Conclusion: Some plants are not cats. Is the conclusion valid?,No cats are cars|Some cars are plants|Some plants are not cats,valid
blood_relation,Amit is Suresh's mother. Suresh is Riya's mother. How is Amit related to Riya?,Amit|mother|Suresh;Suresh|mother|Riya,grandmother
direction_sense,"Sneha walks 6km south, then 2km west. How far is Sneha from the starting point?",6km south;2km west,6.32
coding_decoding,"If FAN is coded as KFS, how is BAT coded?",FAN->KFS;BAT->?,GFY
syllogism,Statement 1: Some cars are animals. Statement 2: All animals are cats. Conclusion: Some cars are cats. Is the conclusion valid?,Some cars are animals|All animals are cats|Some cars are cats,valid
blood_relation,Kavya is Nikhil's mother. Nikhil is Manoj's mother. How is Kavya related to Manoj?,Kavya|mother|Nikhil;Nikhil|mother|Manoj,grandmother
direction_sense,"Suresh walks 2km west, then 7km west. How far is Suresh from the starting point?",2km west;7km west,9.0
coding_decoding,"If CUP is coded as FXS, how is JAM coded?",CUP->FXS;JAM->?,MDP
syllogism,Statement 1: Some dogs are vehicles. Statement 2: Some vehicles are cats. Conclusion: Some dogs are cats. Is the conclusion valid?,Some dogs are vehicles|Some vehicles are cats|Some dogs are cats,invalid
blood_relation,Suresh is Anjali's father. Anjali is Kavya's father. How is Suresh related to Kavya?,Suresh|father|Anjali;Anjali|father|Kavya,grandfather
direction_sense,"Karan walks 7km west, then 4km south, then 4km east. How far is Karan from the starting point?",7km west;4km south;4km east,5.0
coding_decoding,"If MAP is coded as RFU, how is TOP coded?",MAP->RFU;TOP->?,YTU
syllogism,Statement 1: Some dogs are pets. Statement 2: Some pets are mammals. Conclusion: Some dogs are mammals. Is the conclusion valid?,Some dogs are pets|Some pets are mammals|Some dogs are mammals,invalid
blood_relation,Nikhil is Priya's mother. Priya is Arjun's father. How is Nikhil related to Arjun?,Nikhil|mother|Priya;Priya|father|Arjun,grandmother
direction_sense,"Arjun walks 7km south, then 8km east. How far is Arjun from the starting point?",7km south;8km east,10.63
coding_decoding,"If BAT is coded as EDW, how is BOX coded?",BAT->EDW;BOX->?,ERA
syllogism,Statement 1: All cats are animals. Statement 2: No animals are cars. Conclusion: No cats are cars. Is the conclusion valid?,All cats are animals|No animals are cars|No cats are cars,valid
blood_relation,Riya is Suresh's mother. Suresh is Priya's father. How is Riya related to Priya?,Riya|mother|Suresh;Suresh|father|Priya,grandmother
direction_sense,"Nikhil walks 3km east, then 4km south. How far is Nikhil from the starting point?",3km east;4km south,5.0
coding_decoding,"If PEN is coded as TIR, how is RUN coded?",PEN->TIR;RUN->?,VYR
syllogism,Statement 1: Some cats are animals. Statement 2: All animals are vehicles. Conclusion: Some cats are vehicles. Is the conclusion valid?,Some cats are animals|All animals are vehicles|Some cats are vehicles,valid
blood_relation,Anjali is Suresh's mother. Suresh is Manoj's mother. How is Anjali related to Manoj?,Anjali|mother|Suresh;Suresh|mother|Manoj,grandmother
direction_sense,"Meera walks 9km east, then 5km west. How far is Meera from the starting point?",9km east;5km west,4.0
coding_decoding,"If BAT is coded as GFY, how is JAM coded?",BAT->GFY;JAM->?,OFR
syllogism,Statement 1: Some cats are cars. Statement 2: Some cars are flowers. Conclusion: Some cats are flowers. Is the conclusion valid?,Some cats are cars|Some cars are flowers|Some cats are flowers,invalid
blood_relation,Riya is Arjun's mother. Arjun is Anjali's father. How is Riya related to Anjali?,Riya|mother|Arjun;Arjun|father|Anjali,grandmother
direction_sense,"Sneha walks 5km south, then 6km north, then 10km north. How far is Sneha from the starting point?",5km south;6km north;10km north,11.0
coding_decoding,"If SUN is coded as XZS, how is LOG coded?",SUN->XZS;LOG->?,QTL
syllogism,Statement 1: No mammals are vehicles. Statement 2: Some vehicles are plants. Conclusion: Some plants are not mammals. Is the conclusion valid?,No mammals are vehicles|Some vehicles are plants|Some plants are not mammals,valid
blood_relation,Manoj is Priya's son. Priya is Nikhil's daughter. How is Manoj related to Nikhil?,Manoj|son|Priya;Priya|daughter|Nikhil,grandson
direction_sense,"Divya walks 5km west, then 6km west. How far is Divya from the starting point?",5km west;6km west,11.0
coding_decoding,"If FAN is coded as IDQ, how is LOG coded?",FAN->IDQ;LOG->?,ORJ
syllogism,Statement 1: Some dogs are plants. Statement 2: All plants are animals. Conclusion: Some dogs are animals. Is the conclusion valid?,Some dogs are plants|All plants are animals|Some dogs are animals,valid
blood_relation,Amit is Riya's son. Riya is Sneha's son. How is Amit related to Sneha?,Amit|son|Riya;Riya|son|Sneha,grandson
direction_sense,"Suresh walks 3km east, then 4km east. How far is Suresh from the starting point?",3km east;4km east,7.0
coding_decoding,"If CUP is coded as HZU, how is COW coded?",CUP->HZU;COW->?,HTB
syllogism,Statement 1: No plants are birds. Statement 2: Some birds are mammals. Conclusion: Some mammals are not plants. Is the conclusion valid?,No plants are birds|Some birds are mammals|Some mammals are not plants,valid
blood_relation,Kavya is Riya's son. Riya is Manoj's son. How is Kavya related to Manoj?,Kavya|son|Riya;Riya|son|Manoj,grandson
direction_sense,"Vikram walks 9km east, then 4km east. How far is Vikram from the starting point?",9km east;4km east,13.0
coding_decoding,"If CUP is coded as HZU, how is LOG coded?",CUP->HZU;LOG->?,QTL
syllogism,Statement 1: Some fruits are pets. Statement 2: Some pets are cats. Conclusion: Some fruits are cats. Is the conclusion valid?,Some fruits are pets|Some pets are cats|Some fruits are cats,invalid
blood_relation,Karan is Priya's mother. Priya is Anjali's father. How is Karan related to Anjali?,Karan|mother|Priya;Priya|father|Anjali,grandmother
direction_sense,"Meera walks 3km east, then 10km north, then 5km west. How far is Meera from the starting point?",3km east;10km north;5km west,10.2
coding_decoding,"If DOG is coded as GRJ, how is RUN coded?",DOG->GRJ;RUN->?,UXQ
syllogism,Statement 1: No mammals are cats. Statement 2: Some cats are birds. Conclusion: Some birds are not mammals. Is the conclusion valid?,No mammals are cats|Some cats are birds|Some birds are not mammals,valid
blood_relation,Vikram is Priya's son. Priya is Amit's daughter. How is Vikram related to Amit?,Vikram|son|Priya;Priya|daughter|Amit,grandson
direction_sense,"Suresh walks 9km east, then 7km south, then 3km south. How far is Suresh from the starting point?",9km east;7km south;3km south,13.45
coding_decoding,"If CAT is coded as FDW, how is COW coded?",CAT->FDW;COW->?,FRZ
syllogism,Statement 1: Some birds are dogs. Statement 2: Some dogs are mammals. Conclusion: Some birds are mammals. Is the conclusion valid?,Some birds are dogs|Some dogs are mammals|Some birds are mammals,invalid
blood_relation,Vikram is Anjali's mother. Anjali is Divya's father. How is Vikram related to Divya?,Vikram|mother|Anjali;Anjali|father|Divya,grandmother
direction_sense,"Arjun walks 5km east, then 6km east. How far is Arjun from the starting point?",5km east;6km east,11.0
coding_decoding,"If MAP is coded as OCR, how is TOP coded?",MAP->OCR;TOP->?,VQR
syllogism,Statement 1: All plants are cars. Statement 2: All cars are vehicles. Conclusion: All plants are vehicles. Is the conclusion valid?,All plants are cars|All cars are vehicles|All plants are vehicles,valid
blood_relation,Nikhil is Suresh's mother. Suresh is Amit's father. How is Nikhil related to Amit?,Nikhil|mother|Suresh;Suresh|father|Amit,grandmother
direction_sense,"Suresh walks 10km north, then 9km west. How far is Suresh from the starting point?",10km north;9km west,13.45
coding_decoding,"If BAT is coded as GFY, how is COW coded?",BAT->GFY;COW->?,HTB
syllogism,Statement 1: All fruits are cats. Statement 2: All cats are cars. Conclusion: All fruits are cars. Is the conclusion valid?,All fruits are cats|All cats are cars|All fruits are cars,valid
blood_relation,Karan is Suresh's daughter. Suresh is Manoj's son. How is Karan related to Manoj?,Karan|daughter|Suresh;Suresh|son|Manoj,granddaughter
direction_sense,"Anjali walks 10km west, then 9km west, then 6km east. How far is Anjali from the starting point?",10km west;9km west;6km east,13.0
coding_decoding,"If CAT is coded as GEX, how is TOP coded?",CAT->GEX;TOP->?,XST
syllogism,Statement 1: Some plants are animals. Statement 2: All animals are dogs. Conclusion: Some plants are dogs. Is the conclusion valid?,Some plants are animals|All animals are dogs|Some plants are dogs,valid
blood_relation,Priya is Amit's mother. Amit is Sneha's father. How is Priya related to Sneha?,Priya|mother|Amit;Amit|father|Sneha,grandmother
direction_sense,"Amit walks 3km east, then 6km east. How far is Amit from the starting point?",3km east;6km east,9.0
coding_decoding,"If MAP is coded as OCR, how is TOP coded?",MAP->OCR;TOP->?,VQR
syllogism,Statement 1: All flowers are vehicles. Statement 2: No vehicles are cats. Conclusion: No flowers are cats. Is the conclusion valid?,All flowers are vehicles|No vehicles are cats|No flowers are cats,valid
blood_relation,Nikhil is Pooja's daughter. Pooja is Vikram's son. How is Nikhil related to Vikram?,Nikhil|daughter|Pooja;Pooja|son|Vikram,granddaughter
direction_sense,"Riya walks 6km east, then 5km south. How far is Riya from the starting point?",6km east;5km south,7.81
coding_decoding,"If SUN is coded as VXQ, how is BAT coded?",SUN->VXQ;BAT->?,EDW
syllogism,Statement 1: All animals are dogs. Statement 2: No dogs are vehicles. Conclusion: No animals are vehicles. Is the conclusion valid?,All animals are dogs|No dogs are vehicles|No animals are vehicles,valid
blood_relation,Sneha is Rohit's father. Rohit is Divya's mother. How is Sneha related to Divya?,Sneha|father|Rohit;Rohit|mother|Divya,grandfather
direction_sense,"Vikram walks 2km south, then 10km west. How far is Vikram from the starting point?",2km south;10km west,10.2
coding_decoding,"If FAN is coded as HCP, how is TOP coded?",FAN->HCP;TOP->?,VQR
syllogism,Statement 1: All flowers are dogs. Statement 2: All dogs are pets. Conclusion: All flowers are pets. Is the conclusion valid?,All flowers are dogs|All dogs are pets|All flowers are pets,valid
blood_relation,Nikhil is Amit's father. Amit is Karan's father. How is Nikhil related to Karan?,Nikhil|father|Amit;Amit|father|Karan,grandfather
direction_sense,"Riya walks 2km west, then 10km west. How far is Riya from the starting point?",2km west;10km west,12.0
coding_decoding,"If PEN is coded as QFO, how is LOG coded?",PEN->QFO;LOG->?,MPH
syllogism,Statement 1: All dogs are animals. Statement 2: All animals are flowers. Conclusion: All dogs are flowers. Is the conclusion valid?,All dogs are animals|All animals are flowers|All dogs are flowers,valid
blood_relation,Vikram is Karan's father. Karan is Riya's father. How is Vikram related to Riya?,Vikram|father|Karan;Karan|father|Riya,grandfather
direction_sense,"Nikhil walks 6km north, then 8km east. How far is Nikhil from the starting point?",6km north;8km east,10.0
coding_decoding,"If CUP is coded as HZU, how is KEY coded?",CUP->HZU;KEY->?,PJD
syllogism,Statement 1: Some animals are mammals. Statement 2: All mammals are pets. Conclusion: Some animals are pets. Is the conclusion valid?,Some animals are mammals|All mammals are pets|Some animals are pets,valid
blood_relation,Rohit is Kavya's mother. Kavya is Nikhil's father. How is Rohit related to Nikhil?,Rohit|mother|Kavya;Kavya|father|Nikhil,grandmother
direction_sense,"Pooja walks 9km north, then 9km south, then 9km east. How far is Pooja from the starting point?",9km north;9km south;9km east,9.0
coding_decoding,"If DOG is coded as EPH, how is KEY coded?",DOG->EPH;KEY->?,LFZ
syllogism,Statement 1: All birds are cats. Statement 2: No cats are fruits. Conclusion: No birds are fruits. Is the conclusion valid?,All birds are cats|No cats are fruits|No birds are fruits,valid
blood_relation,Vikram is Meera's daughter. Meera is Karan's daughter. How is Vikram related to Karan?,Vikram|daughter|Meera;Meera|daughter|Karan,granddaughter
direction_sense,"Riya walks 4km south, then 9km north, then 9km north. How far is Riya from the starting point?",4km south;9km north;9km north,14.0
coding_decoding,"If FAN is coded as HCP, how is BAT coded?",FAN->HCP;BAT->?,DCV
syllogism,Statement 1: All foods are mammals. Statement 2: No mammals are dogs. Conclusion: No foods are dogs. Is the conclusion valid?,All foods are mammals|No mammals are dogs|No foods are dogs,valid
blood_relation,Anjali is Divya's daughter. Divya is Nikhil's daughter. How is Anjali related to Nikhil?,Anjali|daughter|Divya;Divya|daughter|Nikhil,granddaughter
direction_sense,"Riya walks 8km south, then 8km west, then 7km north. How far is Riya from the starting point?",8km south;8km west;7km north,8.06
coding_decoding,"If PEN is coded as UJS, how is KEY coded?",PEN->UJS;KEY->?,PJD
syllogism,Statement 1: No dogs are plants. Statement 2: Some plants are cats. Conclusion: Some cats are not dogs. Is the conclusion valid?,No dogs are plants|Some plants are cats|Some cats are not dogs,valid
blood_relation,Vikram is Anjali's son. Anjali is Rohit's daughter. How is Vikram related to Rohit?,Vikram|son|Anjali;Anjali|daughter|Rohit,grandson
direction_sense,"Divya walks 10km east, then 7km south. How far is Divya from the starting point?",10km east;7km south,12.21
coding_decoding,"If CAT is coded as FDW, how is JAM coded?",CAT->FDW;JAM->?,MDP
syllogism,Statement 1: All cats are animals. Statement 2: No animals are pets. Conclusion: No cats are pets. Is the conclusion valid?,All cats are animals|No animals are pets|No cats are pets,valid
blood_relation,Sneha is Pooja's father. Pooja is Amit's father. How is Sneha related to Amit?,Sneha|father|Pooja;Pooja|father|Amit,grandfather
direction_sense,"Meera walks 4km east, then 5km west. How far is Meera from the starting point?",4km east;5km west,1.0
coding_decoding,"If DOG is coded as GRJ, how is KEY coded?",DOG->GRJ;KEY->?,NHB
syllogism,Statement 1: All mammals are cars. Statement 2: All cars are cats. Conclusion: All mammals are cats. Is the conclusion valid?,All mammals are cars|All cars are cats|All mammals are cats,valid
blood_relation,Arjun is Riya's daughter. Riya is Suresh's daughter. How is Arjun related to Suresh?,Arjun|daughter|Riya;Riya|daughter|Suresh,granddaughter
direction_sense,"Arjun walks 7km west, then 10km south. How far is Arjun from the starting point?",7km west;10km south,12.21
coding_decoding,"If PEN is coded as RGP, how is TOP coded?",PEN->RGP;TOP->?,VQR
syllogism,Statement 1: Some animals are mammals. Statement 2: All mammals are flowers. Conclusion: Some animals are flowers. Is the conclusion valid?,Some animals are mammals|All mammals are flowers|Some animals are flowers,valid
blood_relation,Pooja is Sneha's daughter. Sneha is Divya's daughter. How is Pooja related to Divya?,Pooja|daughter|Sneha;Sneha|daughter|Divya,granddaughter
direction_sense,"Pooja walks 3km east, then 7km south. How far is Pooja from the starting point?",3km east;7km south,7.62
coding_decoding,"If CUP is coded as GYT, how is BAT coded?",CUP->GYT;BAT->?,FEX
syllogism,Statement 1: No dogs are fruits. Statement 2: Some fruits are cats. Conclusion: Some cats are not dogs. Is the conclusion valid?,No dogs are fruits|Some fruits are cats|Some cats are not dogs,valid
blood_relation,Divya is Karan's mother. Karan is Pooja's father. How is Divya related to Pooja?,Divya|mother|Karan;Karan|father|Pooja,grandmother
direction_sense,"Riya walks 10km west, then 6km south, then 10km east. How far is Riya from the starting point?",10km west;6km south;10km east,6.0
coding_decoding,"If PEN is coded as UJS, how is COW coded?",PEN->UJS;COW->?,HTB
syllogism,Statement 1: No animals are mammals. Statement 2: Some mammals are dogs. Conclusion: Some dogs are not animals. Is the conclusion valid?,No animals are mammals|Some mammals are dogs|Some dogs are not animals,valid
blood_relation,Rohit is Pooja's son. Pooja is Manoj's daughter. How is Rohit related to Manoj?,Rohit|son|Pooja;Pooja|daughter|Manoj,grandson
